Price,Condition,Brand,Model,Edition,Operating System,RAM,Memory,No. of Camera,Screen Size,Network,SIM Support,Dual SIM,URL
"Rs 115,000",Used,Apple,iPhone 14,256GB,iOS,,,Dual,,5G,,,https://ikman.lk/en/ad/apple-iphone-14-256gb-used-for-sale-kurunegala-46
"Rs 154,003",Used,Apple,iPhone 14 Pro,128GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-14-pro-128gb-used-for-sale-colombo-2819
"Rs 165,000",Used,Apple,iPhone 14 Pro,Apple,iOS,,256 GB,Dual,,5G,,,https://ikman.lk/en/ad/apple-iphone-14-pro-used-for-sale-colombo-1537
"Rs 73,500",Used,Apple,iPhone 11,256GB,iOS,,256 GB,,,,Single SIM,,https://ikman.lk/en/ad/apple-iphone-11-256-brand-new-for-sale-gampaha
"Rs 124,003",Used,Apple,iPhone 14 Plus,128GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-14-plus-128gb-used-for-sale-colombo-1535
"Rs 96,000",Used,Apple,iPhone 12 Pro,256GB,iOS,,256 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-12-pro-256gb-used-for-sale-colombo-10484
"Rs 88,003",Used,Apple,iPhone 13,128GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-13-128gb-used-for-sale-colombo-11567
"Rs 240,000",Used,Apple,iPhone Air,,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-air-used-for-sale-kegalle
"Rs 28,000",Used,Apple,iPhone 8,,iOS,,64 GB,,,4G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-8-used-for-sale-badulla-284
"Rs 79,000",Used,Apple,iPhone 12 Pro Max,256GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-12-pro-max-256gb-used-for-sale-anuradhapura-201
"Rs 239,000",Used,Apple,iPhone 15 Pro Max,256GB,iOS,8 GB,256 GB,Triple,Above 6 inches,5G,,,https://ikman.lk/en/ad/apple-iphone-15-pro-max-iphone15promax-256gb-used-for-sale-anuradhapura
"Rs 33,000",Used,Apple,iPhone 8,,iOS,,64 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-8-used-for-sale-kandy-2187
"Rs 165,000",Used,Apple,iPhone 14 Pro Max,,iOS,,,Dual,,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-14-pro-max-used-for-sale-kurunegala-531
"Rs 44,000",Used,Apple,iPhone XS,256GB,iOS,,256 GB,,,VoLTE,Single SIM,,https://ikman.lk/en/ad/apple-iphone-xs-256gb-used-for-sale-gampaha-8334
"Rs 154,000",Used,Apple,iPhone 15,256GB,iOS,,256 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-15-256gb-used-for-sale-colombo-501
"Rs 74,003",Used,Apple,iPhone 12,128GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-12-128gb-used-for-sale-colombo-9737
"Rs 30,000",Used,Apple,iPhone 8 Plus,,iOS,4 GB,64 GB,Dual,5.1 to 6 inches,4G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-8-plus-used-for-sale-kandy-1714
"Rs 60,000",Brand New,Apple,iPhone 17 Pro Max,256GB AAA REPLICA.,iOS,8 GB,256 GB,Triple,Above 6 inches,5G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-17-pro-max-256gb-aaa-replica-brand-new-for-sale-colombo-3
"Rs 105,000",Used,Apple,iPhone 12 Pro,512GB,iOS,,256 GB,Triple,,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-12-pro-512gb-used-for-sale-polonnaruwa
"Rs 30,000",Used,Apple,iPhone 8 Plus,,iOS,4 GB,64 GB,Dual,5.1 to 6 inches,4G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-8-plus-used-for-sale-kandy-1714
"Rs 32,500",Used,Apple,iPhone SE 2,,iOS,,64 GB,,,4G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-se-2-used-for-sale-ratnapura-512
"Rs 47,000",Used,Apple,iPhone 11,128GB,iOS,,256 GB,Dual,,,,,https://ikman.lk/en/ad/apple-iphone-11-128gb-used-for-sale-kegalle-450
"Rs 20,000",Used,Apple,iPhone XR,64GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-xr-i-phone-64gb-used-for-sale-kurunegala
"Rs 40,500",Used,Apple,iPhone XS,,iOS,,256 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-xs-used-for-sale-batticaloa-356
"Rs 62,004",Used,Apple,iPhone 11,128GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-11-128gb-used-for-sale-colombo-19075
"Rs 93,000",Used,Apple,iPhone 13,Apple,iOS,,128 GB,,,5G,,,https://ikman.lk/en/ad/apple-iphone-13-used-for-sale-colombo-3484
"Rs 69,999",Used,Apple,iPhone 11,128GB G1,iOS,,128 GB,Dual,,,,,https://ikman.lk/en/ad/apple-iphone-11-128gb-g1-used-for-sale-kalutara-1
"Rs 95,999",Used,Apple,iPhone 12 Pro,128GB UI,iOS,,128 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-12-pro-128gb-ui-used-for-sale-kalutara
"Rs 184,000",Used,Apple,iPhone 11 Pro,256GB,iOS,,256 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-11-pro-256gb-used-for-sale-colombo-11499
"Rs 43,000",Used,Apple,iPhone 11,128GB,iOS,,128 GB,Dual,5.1 to 6 inches,4G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-11-128gb-used-for-sale-colombo-19074
"Rs 71,000",Used,Apple,iPhone 12 Pro Max,Apple,iOS,6 GB,256 GB,Triple,4 to 5 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-12-pro-max-2021-used-for-sale-batticaloa
"Rs 36,500",Used,Apple,iPhone SE 2,Apple,iOS,3 GB,128 GB,,4 to 5 inches,4G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-se-2-used-for-sale-kalutara-639
"Rs 139,990",Used,Apple,iPhone 13 Pro,256GB,iOS,6 GB,256 GB,Triple,Above 6 inches,5G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-13-pro-256gb-used-for-sale-polonnaruwa-44
"Rs 133,000",Used,Apple,iPhone 13 Pro Max,256GB,iOS,,,Triple,,5G,,,https://ikman.lk/en/ad/apple-iphone-13-pro-max-256gb-used-for-sale-kurunegala-464
"Rs 29,990",Used,Apple,iPhone 8 Plus,64GB,iOS,,64 GB,Dual,4 to 5 inches,4G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-8-plus-64gb-used-for-sale-gampaha-5902
"Rs 184,000",Used,Apple,iPhone 16,128GB,iOS,,128 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-16-128gb-used-for-sale-colombo-1061
"Rs 19,990",Used,Apple,iPhone 7 Plus,128GB,iOS,,128 GB,Dual,5.1 to 6 inches,4G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-7-plus-128gb-used-for-sale-gampaha-15586
"Rs 110,000",Used,Apple,iPhone 14,256GB,iOS,,256 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-14-256gb-used-for-sale-colombo-900
"Rs 69,990",Used,Apple,iPhone 12 mini,128GB California,iOS,,128 GB,Dual,Above 6 inches,4G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-12-mini-128gb-california-used-for-sale-colombo-25
"Rs 16,000",Used,Apple,iPhone 6S Plus,,iOS,16 GB,,,,,,,https://ikman.lk/en/ad/apple-iphone-6s-plus-used-for-sale-gampaha-2239
"Rs 93,000",Used,Apple,iPhone 13,128GB,iOS,,128 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-13-128gb-used-for-sale-colombo-11566
"Rs 250,000",Used,Apple,iPhone 15 Pro Max,Apple,iOS,12 GB,256 GB,,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-15-pro-max-i-phone-promax-used-for-sale-kandy-4
