Price,Condition,Brand,Model,Edition,Operating System,RAM,Memory,No. of Camera,Screen Size,Network,SIM Support,Dual SIM,URL
"Rs 168,000",Used,Apple,iPhone 14 Pro Max,14 pro max,iOS,8 GB,256 GB,Triple,5.1 to 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-14-pro-max-2022-used-for-sale-kandy-1
"Rs 59,900",Brand New,Apple,iPhone 17 Pro Max,512GB,iOS,12 GB,256 GB,Triple,Above 6 inches,5G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-17-pro-max-512gb-brand-new-for-sale-colombo-234
"Rs 85,000",Used,Apple,iPhone 12 Pro,,iOS,,256 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-12-pro-used-for-sale-colombo-3975
"Rs 176,999",Used,Apple,iPhone 14 Pro Max,128GB PURPLE FULLSET,iOS,6 GB,128 GB,Triple,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-14-pro-max-128gb-purple-fullset-used-for-sale-colombo-6
"Rs 183,999",Used,Apple,iPhone 16,128GB Fullset Box,iOS,8 GB,128 GB,Dual,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-16-128gb-fullset-box-used-for-sale-colombo-2
"Rs 225,000",Used,Apple,iPhone 15 Pro Max,256GB,iOS,,256 GB,Triple,,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-15-pro-max-256gb-used-for-sale-colombo-5837
"Rs 168,000",Used,Apple,iPhone 14 Pro,256GB KH/A,iOS,6 GB,256 GB,Triple,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-14-pro-256gb-kh-a-used-for-sale-galle-6
"Rs 258,500",Used,Apple,iPhone 16 Pro Max,256GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-16-pro-max-256gb-used-for-sale-kandy-321
"Rs 97,990",Used,Apple,iPhone 12 Pro,128GB,iOS,6 GB,128 GB,Triple,Above 6 inches,5G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-12-pro-128gb-used-for-sale-polonnaruwa-63
"Rs 225,000",Used,Apple,iPhone 15 Pro Max,256GB,iOS,,256 GB,Triple,,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-15-pro-max-256gb-used-for-sale-colombo-5837
"Rs 168,000",Used,Apple,iPhone 14 Pro,256GB KH/A,iOS,6 GB,256 GB,Triple,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-14-pro-256gb-kh-a-used-for-sale-galle-6
"Rs 123,999",Used,Apple,iPhone 13 Pro,128GB,iOS,6 GB,128 GB,Triple,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-13-pro-128gb-used-for-sale-colombo-3309
"Rs 75,000",Used,Apple,iPhone 11 Pro Max,256GB,iOS,,256 GB,Triple,,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-11-pro-max-256gb-used-for-sale-colombo-6469
"Rs 105,000",Used,Apple,iPhone 13,,iOS,,128 GB,,,5G,,,https://ikman.lk/en/ad/apple-iphone-13-used-for-sale-colombo-3475
"Rs 155,000",Used,Apple,iPhone 14 Pro,128GB / 256GB,iOS,6 GB,128 GB,Triple,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-14-pro-128gb-256gb-used-for-sale-galle-1
"Rs 75,000",Used,Apple,iPhone 12 Pro,,iOS,6 GB,256 GB,Triple,,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-12-pro-used-for-sale-kandy-1233
"Rs 86,900",Used,Apple,iPhone 13 mini,128GB,iOS,4 GB,128 GB,Dual,,,,,https://ikman.lk/en/ad/apple-iphone-13-mini-128gb-used-for-sale-gampaha-252
"Rs 70,000",Used,Apple,iPhone XS Max,iPhone XS Max,iOS,6 GB,256 GB,Dual,Above 6 inches,4G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-xs-max-used-for-sale-colombo-3181
"Rs 169,900",Used,Apple,iPhone 15 Plus,256GB,iOS,8 GB,256 GB,Dual,,,,,https://ikman.lk/en/ad/apple-iphone-15-plus-256gb-used-for-sale-gampaha-20
"Rs 155,000",Used,Apple,iPhone 14 Pro,5G 128GB,iOS,6 GB,128 GB,Triple,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-14-pro-5g-128gb-used-for-sale-matara-15
"Rs 43,000",Used,Apple,iPhone XS,64GB,iOS,,64 GB,Dual,5.1 to 6 inches,,Single SIM,,https://ikman.lk/en/ad/apple-iphone-xs-64-used-for-sale-kandy-6
"Rs 118,000",Used,Apple,iPhone 14,,iOS,,128 GB,Dual,,5G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-14-used-for-sale-kurunegala-355
"Rs 45,000",Used,Apple,iPhone SE 2,128GB,iOS,,128 GB,,,4G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-se-2-se2-used-for-sale-anuradhapura-75
,,,,,,,,,,,,,https://ikman.lk/en/ad/apple-iphone-12-pro-used-for-sale-colombo-3974
"Rs 285,000",Brand New,Apple,iPhone 17,256gb,iOS,8 GB,256 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-17-256gb-brand-new-for-sale-vavuniya-2
"Rs 215,900",Used,Apple,iPhone 15 Pro,256GB,iOS,8 GB,256 GB,Triple,,,,,https://ikman.lk/en/ad/apple-iphone-15-pro-256gb-used-for-sale-gampaha-583
"Rs 155,000",Used,Apple,iPhone 14 Pro,128GB,iOS,6 GB,128 GB,Triple,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-14-pro-128gb-used-for-sale-matara-57
"Rs 155,000",Used,Apple,iPhone 14 Pro,6GB / 128GB,iOS,6 GB,128 GB,Triple,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-14-pro-6gb-128gb-used-for-sale-matara
"Rs 39,000",Used,Apple,iPhone X,256GB,iOS,3 GB,256 GB,Dual,,4G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-x-black-256gb-used-for-sale-kalutara
"Rs 197,900",Used,Apple,iPhone 15 Pro,128GB,iOS,8 GB,128 GB,Triple,,,,,https://ikman.lk/en/ad/apple-iphone-15-pro-128gb-used-for-sale-gampaha-507
"Rs 283,000",Used,Apple,iPhone 16 Pro Max,256Gb,iOS,8 GB,256 GB,Triple,Above 6 inches,,,,https://ikman.lk/en/ad/apple-iphone-16-pro-max-256gb-used-for-sale-colombo-2393
"Rs 13,000",Used,Apple,iPhone 6S,Apple,iOS,2 GB,64 GB,,,4G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-6s-used-for-sale-kegalle-1581
"Rs 110,000",Used,Apple,iPhone 13 Pro,,iOS,6 GB,256 GB,Triple,,5G,,,https://ikman.lk/en/ad/apple-iphone-13-pro-used-for-sale-kegalle-144
"Rs 50,000",Used,Apple,iPhone 11,iPhone 11,iOS,,64 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-11-used-for-sale-colombo-8184
"Rs 117,500",Used,Apple,iPhone 12 Pro Max,Apple,iOS,,256 GB,Triple,,4G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-12-pro-max-used-for-sale-gampaha-1922
"Rs 50,000",Used,Apple,iPhone 11,iPhone 11,iOS,,64 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-11-used-for-sale-colombo-8184
"Rs 152,000",Used,Apple,iPhone 16,128 GB,iOS,8 GB,128 GB,Dual,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-16-128-gb-used-for-sale-kandy-63
"Rs 48,000",Used,Apple,iPhone 11 Pro Max,,iOS,,256 GB,Triple,Below 4 inches,5G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-11-pro-max-used-for-sale-kalutara-468
"Rs 94,250",Used,Apple,iPhone 12 Pro,256GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-12-pro-256gb-used-for-sale-colombo-10441
"Rs 184,500",Used,Apple,iPhone 16,128GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-16-128gb-used-for-sale-colombo-1056
"Rs 94,250",Used,Apple,iPhone 12 Pro,256GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-12-pro-256gb-used-for-sale-colombo-10464
"Rs 124,250",Used,Apple,iPhone 14 Plus,128GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-14-plus-128gb-used-for-sale-colombo-1532
"Rs 154,500",Used,Apple,iPhone 14 Pro,128GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-14-pro-128gb-used-for-sale-colombo-2814
"Rs 88,750",Used,Apple,iPhone 12,256GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-12-256gb-used-for-sale-colombo-1790
"Rs 164,000",Used,Apple,iPhone 14 Pro,128GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-14-pro-128gb-used-for-sale-colombo-2815
"Rs 154,500",Used,Apple,iPhone 15,256GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-15-256gb-used-for-sale-colombo-500
"Rs 169,250",Used,Apple,iPhone 14 Pro Max,128GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-14-pro-max-128gb-used-for-sale-colombo-2016
"Rs 204,000",Used,Apple,iPhone 15 Pro,128GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-15-pro-128gb-used-for-sale-colombo-1512
"Rs 86,750",Used,Apple,iPhone 11 Pro Max,256GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-11-pro-max-256gb-used-for-sale-colombo-6475
"Rs 178,500",Used,Apple,iPhone 16,128GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-16-128gb-used-for-sale-colombo-1057
"Rs 243,750",Used,Apple,iPhone 16 Pro,256GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-16-pro-256gb-used-for-sale-colombo-781
"Rs 195,000",Used,Apple,iPhone 16,128GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-16-128gb-used-for-sale-colombo-1059
"Rs 164,500",Used,Apple,iPhone 15 Plus,128GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-15-plus-128gb-used-for-sale-colombo-562
"Rs 103,250",Used,Apple,iPhone 13,128GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-13-128gb-used-for-sale-colombo-11546
"Rs 98,999",Used,Apple,iPhone 12 Pro,256GB Fullset,iOS,6 GB,256 GB,Triple,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-12-pro-256gb-fullset-used-for-sale-colombo-44
"Rs 149,500",Used,Apple,iPhone 15,128GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-15-128gb-used-for-sale-colombo-3523
"Rs 94,250",Used,Apple,iPhone 12 Pro Max,256GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-12-pro-max-256gb-used-for-sale-colombo-7853
"Rs 280,699",Used,Apple,iPhone 16 Pro Max,256GB,iOS,,256 GB,Triple,,VoLTE,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-16-pro-max-256gb-used-for-sale-colombo-2392
"Rs 210,699",Used,Apple,iPhone 16 Plus,128GB,iOS,,128 GB,Dual,,VoLTE,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-16-plus-128gb-used-for-sale-colombo-194
"Rs 104,699",Used,Apple,iPhone 13,128GB,iOS,,128 GB,Dual,,VoLTE,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-13-128gb-used-for-sale-colombo-11527
"Rs 97,990",Used,Apple,iPhone 12 Pro,128GB,iOS,6 GB,128 GB,Triple,Above 6 inches,5G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-12-pro-128gb-used-for-sale-polonnaruwa-63
"Rs 47,500",Brand New,Apple,iPhone 16 Pro Max,512GB,iOS,8 GB,256 GB,Triple,Above 6 inches,5G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-16-pro-max-512gb-brand-new-for-sale-colombo-10
"Rs 94,250",Used,Apple,iPhone 12 Pro Max,256GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-12-pro-max-256gb-used-for-sale-colombo-7853
"Rs 280,699",Used,Apple,iPhone 16 Pro Max,256GB,iOS,,256 GB,Triple,,VoLTE,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-16-pro-max-256gb-used-for-sale-colombo-2392
"Rs 210,699",Used,Apple,iPhone 16 Plus,128GB,iOS,,128 GB,Dual,,VoLTE,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-16-plus-128gb-used-for-sale-colombo-194
"Rs 104,699",Used,Apple,iPhone 13,128GB,iOS,,128 GB,Dual,,VoLTE,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-13-128gb-used-for-sale-colombo-11527
"Rs 25,000",Used,Apple,iPhone 7,,iOS,,128 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-7-used-for-sale-monaragala-618
"Rs 85,699",Used,Apple,iPhone 12,128GB,iOS,,128 GB,Dual,,VoLTE,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-12-128gb-used-for-sale-colombo-9709
"Rs 71,699",Used,Apple,iPhone 11,128GB,iOS,,128 GB,Dual,,VoLTE,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-11-128gb-used-for-sale-colombo-19038
"Rs 176,999",Used,Apple,iPhone 14 Pro Max,128GB PURPLE FULLSET,iOS,6 GB,128 GB,Triple,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-14-pro-max-128gb-purple-fullset-used-for-sale-colombo-5
"Rs 98,000",Used,Apple,iPhone 12 Pro Max,,iOS,,128 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-12-pro-max-used-for-sale-gampaha-1932
"Rs 219,000",Used,Apple,iPhone 15 Pro Max,iphone 15 pro max,iOS,,256 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-15-pro-max-used-for-sale-kandy-450
"Rs 209,500",Used,Apple,iPhone 15 Pro,256GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-15-pro-256gb-used-for-sale-colombo-1817
"Rs 160,000",Used,Apple,iPhone 14 Pro,14 pro,iOS,6 GB,256 GB,Triple,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-14-pro-dual-sim-used-for-sale-hambantota
"Rs 124,500",Used,Apple,iPhone 12 Pro Max,256GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-12-pro-max-256gb-used-for-sale-colombo-7854
"Rs 25,000",Used,Apple,iPhone 8,Apple,iOS,,64 GB,,Below 4 inches,4G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-8-used-used-for-sale-kandy-1
"Rs 96,500",Used,Apple,iPhone 12 Pro,256GB,iOS,,,Triple,,5G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-12-pro-256-gb-used-for-sale-anuradhapura-78
"Rs 185,000",Used,Apple,iPhone 16,128GB,iOS,,128 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-16-128gb-used-for-sale-colombo-1051
"Rs 264,500",Used,Apple,iPhone 16 Pro Max,256GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-16-pro-max-256gb-used-for-sale-colombo-2408
"Rs 105,000",Used,Apple,iPhone 13,,iOS,,128 GB,Dual,Below 4 inches,5G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-13-used-for-sale-gampaha-1398
"Rs 100,000",Used,Apple,iPhone 13 Pro,128GB,iOS,6 GB,128 GB,Triple,Above 6 inches,5G,Dual VoLTE,,https://ikman.lk/en/ad/apple-iphone-13-pro-128gb-used-for-sale-gampaha-1570
"Rs 155,000",Used,Apple,iPhone 15,256GB,iOS,,256 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-15-256gb-used-for-sale-colombo-497
"Rs 110,000",Used,Apple,iPhone 14,256GB,iOS,,256 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-14-256gb-used-for-sale-colombo-892
"Rs 114,000",Used,Apple,iPhone 14,128GB,iOS,,128 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-14-128gb-used-for-sale-colombo-5936
"Rs 67,500",Used,Apple,iPhone 14,iPhone 14,iOS,4 GB,128 GB,Dual,4 to 5 inches,5G,,,https://ikman.lk/en/ad/apple-iphone-14-used-for-sale-colombo-1654
"Rs 93,000",Used,Apple,iPhone 13,13 128GB,iOS,,128 GB,,,5G,,,https://ikman.lk/en/ad/apple-iphone-13-128gb-used-for-sale-colombo-11526
"Rs 123,999",Used,Apple,iPhone 13 Pro,128GB,iOS,6 GB,128 GB,Triple,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-13-pro-128gb-used-for-sale-colombo-3310
"Rs 285,000",Brand New,Apple,iPhone 17,,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-17-brand-new-for-sale-kandy-1
"Rs 125,000",Used,Apple,iPhone 14,256GB Full Box,iOS,,256 GB,Dual,,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-14-256gb-full-box-used-for-sale-polonnaruwa-1
"Rs 112,000",Used,Apple,iPhone 14,128GB,iOS,,128 GB,Dual,,4G,,,https://ikman.lk/en/ad/apple-iphone-14-128gb-used-for-sale-colombo-5931
"Rs 72,000",Used,Apple,iPhone 11 Pro,Apple,iOS,4 GB,256 GB,Triple,,4G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-11-pro-used-for-sale-colombo-3242
"Rs 92,000",Used,Apple,iPhone 13,128GB,iOS,,128 GB,Dual,,4G,,,https://ikman.lk/en/ad/apple-iphone-13-128gb-used-for-sale-colombo-11515
"Rs 56,000",Used,Apple,iPhone 11,,iOS,4 GB,128 GB,Dual,5.1 to 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-11-used-for-sale-colombo-8183
"Rs 116,000",Used,Apple,iPhone 12 Pro Max,256GB,iOS,,256 GB,Triple,,4G,,,https://ikman.lk/en/ad/apple-iphone-12-pro-max-256gb-used-for-sale-colombo-7844
"Rs 61,000",Used,Apple,iPhone 11,128GB,iOS,,128 GB,Dual,,4G,,,https://ikman.lk/en/ad/apple-iphone-11-128gb-used-for-sale-colombo-19031
"Rs 95,000",Used,Apple,iPhone 12 Pro,(256GB),iOS,,256 GB,Triple,,4G,,,https://ikman.lk/en/ad/apple-iphone-12-pro-256gb-used-for-sale-colombo-10435
"Rs 72,000",Used,Apple,iPhone 12,128GB,iOS,,128 GB,Dual,,4G,,,https://ikman.lk/en/ad/apple-iphone-12-128gb-used-for-sale-colombo-9706
"Rs 75,000",Used,Apple,iPhone 11 Pro,128GB,iOS,,256 GB,,,4G,,,https://ikman.lk/en/ad/apple-iphone-11-pro-128gb-used-for-sale-colombo-91
"Rs 120,000",Used,Apple,iPhone 13 Pro,,iOS,12 GB,256 GB,Triple,Above 6 inches,5G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-13-pro-used-for-sale-colombo-2157
"Rs 275,000",Used,Apple,iPhone 15 Pro Max,15 Pro Max,iOS,12 GB,256 GB,Dual,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-15-pro-max-brand-new-for-sale-jaffna-1
"Rs 191,990",Brand New,Apple,iPhone 15,128GB,iOS,,128 GB,Dual,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-15-128gb-brand-new-for-sale-colombo-939
"Rs 65,000",Used,Apple,iPhone 11 Pro,,iOS,,256 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-11-pro-used-for-sale-kurunegala-1342
"Rs 198,999",Used,Apple,iPhone 15 Pro,128GB,iOS,8 GB,256 GB,Triple,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-15-pro-128gb-used-for-sale-colombo-1502
"Rs 198,999",Used,Apple,iPhone 15 Pro,128GB,iOS,8 GB,256 GB,Triple,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-15-pro-128gb-used-for-sale-colombo-1503
"Rs 183,999",Used,Apple,iPhone 16,128GB BLACK FULLSET,iOS,8 GB,128 GB,Dual,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-16-128gb-black-fullset-used-for-sale-colombo-37
"Rs 162,990",Brand New,Apple,iPhone 14,128GB,iOS,,128 GB,Dual,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-14-128gb-brand-new-for-sale-colombo-702
"Rs 99,990",Used,Apple,iPhone 13,128GB PINK,iOS,6 GB,128 GB,Dual,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-13-128gb-pink-used-for-sale-colombo-95
"Rs 63,000",Used,Apple,iPhone 11 Pro Max,64GB,iOS,8 GB,64 GB,Triple,4 to 5 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-11-pro-max-64gb-used-for-sale-colombo-1938
"Rs 160,000",Used,Apple,iPhone 14 Pro,128GB,iOS,,128 GB,Triple,,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-14-pro-128gb-used-for-sale-colombo-2803
"Rs 156,990",Brand New,Apple,iPhone 13,128GB,iOS,,128 GB,Dual,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-13-128gb-brand-new-for-sale-colombo-573
"Rs 46,999",Used,Apple,iPhone SE 2,Se,iOS,4 GB,128 GB,Quad,4 to 5 inches,4G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-se-2-used-for-sale-colombo-2068
"Rs 123,999",Used,Apple,iPhone 13 Pro,128GB GOLD,iOS,6 GB,128 GB,,,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-13-pro-128gb-gold-used-for-sale-colombo-9
"Rs 176,999",Used,Apple,iPhone 14 Pro Max,128GB PURPLE FULLSET,iOS,6 GB,128 GB,Triple,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-14-pro-max-128gb-purple-fullset-used-for-sale-colombo-3
"Rs 174,000",Used,Apple,iPhone 14 Pro Max,Apple,iOS,,128 GB,Triple,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-14-pro-max-i-phone-used-for-sale-colombo-48
"Rs 402,500",Brand New,Apple,iPhone 17 Pro Max,,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-17-pro-max-brand-new-for-sale-kandy-36
"Rs 59,900",Brand New,Apple,iPhone 17 Pro Max,512GB,iOS,12 GB,256 GB,Triple,Above 6 inches,5G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-17-pro-max-512gb-brand-new-for-sale-colombo-234
"Rs 136,000",Used,Apple,iPhone 13 Pro,15 128GB,iOS,,128 GB,Dual,,,,,https://ikman.lk/en/ad/apple-iphone-13-pro-15-128gb-used-for-sale-colombo
"Rs 85,000",Used,Apple,iPhone 12 Pro,Gold,iOS,,,,,5G,,,https://ikman.lk/en/ad/apple-iphone-12-pro-gold-used-for-sale-kandy-29
"Rs 92,000",Used,Apple,iPhone 13,Apple,iOS,,128 GB,,,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-13-brand-new-for-sale-matara-1
"Rs 198,500",Used,Apple,iPhone 14 Pro Max,5G 256GB,iOS,,256 GB,Triple,,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-14-pro-max-5g-256gb-used-for-sale-anuradhapura
"Rs 42,000",Used,Apple,iPhone 11,Apple,iOS,,64 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-11-64-gb-used-for-sale-gampaha-319
"Rs 68,000",Used,Apple,iPhone 11 Pro,,iOS,,256 GB,Triple,,5G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-11-pro-used-for-sale-colombo-3243
"Rs 21,000",Used,Apple,iPhone 8,White,iOS,,64 GB,,,5G,,,https://ikman.lk/en/ad/apple-iphone-8-white-used-for-sale-colombo-2
"Rs 99,990",Used,Apple,iPhone 12 Pro,128GB Gold,iOS,,128 GB,Triple,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-12-pro-128gb-gold-used-for-sale-colombo-164
"Rs 69,990",Used,Apple,iPhone 11,128GB,iOS,4 GB,128 GB,Dual,Above 6 inches,4G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-11-128gb-used-for-sale-polonnaruwa-174
"Rs 105,000",Used,Apple,iPhone 12 Pro,256GB,iOS,,256 GB,Triple,,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-12-pro-256gb-used-for-sale-kalutara-624
"Rs 210,500",Used,Apple,iPhone 16 Plus,,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-16-plus-used-for-sale-gampaha-11
"Rs 210,500",Used,Apple,iPhone 16 Plus,,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-16-plus-used-for-sale-colombo-46
"Rs 210,500",Used,Apple,iPhone 16 Plus,,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-16-plus-used-for-sale-colombo-45
"Rs 210,500",Used,Apple,iPhone 16 Plus,,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-16-plus-used-for-sale-gampaha-10
"Rs 210,500",Used,Apple,iPhone 16 Plus,,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-16-plus-used-for-sale-colombo-44
"Rs 210,500",Used,Apple,iPhone 16 Plus,,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-16-plus-used-for-sale-gampaha-9
"Rs 210,500",Used,Apple,iPhone 16 Plus,,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-16-plus-used-for-sale-colombo-43
"Rs 210,500",Used,Apple,iPhone 16 Plus,,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-16-plus-used-for-sale-gampaha-8
"Rs 210,500",Used,Apple,iPhone 16 Plus,,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-16-plus-used-for-sale-colombo-42
"Rs 81,990",Used,Apple,iPhone 12,128GB Blue,iOS,,128 GB,Dual,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-12-128gb-blue-used-for-sale-colombo-256
"Rs 169,500",Used,Apple,iPhone 15 Plus,,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-15-plus-used-for-sale-gampaha-31
"Rs 169,500",Used,Apple,iPhone 15 Plus,,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-15-plus-used-for-sale-colombo-155
"Rs 85,000",Used,Apple,iPhone 13,,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-13-used-for-sale-colombo-3474
"Rs 169,500",Used,Apple,iPhone 15 Plus,,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-15-plus-used-for-sale-gampaha-30
"Rs 169,500",Used,Apple,iPhone 15 Plus,,iOS,,,Quad,,,,,https://ikman.lk/en/ad/apple-iphone-15-plus-used-for-sale-colombo-154
"Rs 182,990",Brand New,Apple,iPhone 15,6GB |128GB,iOS,6 GB,128 GB,Dual,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-15-6gb-128gb-brand-new-for-sale-colombo
"Rs 29,500",Used,Apple,iPhone 8 Plus,256GB Full Set Box,iOS,8 GB,256 GB,Dual,Above 6 inches,4G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-8-plus-256gb-full-set-box-used-for-sale-colombo-208
"Rs 23,000",Used,Apple,iPhone 8,256GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-8-256-used-for-sale-batticaloa-1
