Condition,Brand,Model,Edition,Operating System,RAM,Memory,No. of Camera,Screen Size,Network,SIM Support,URL
Used,Apple,iPhone 15 Pro,256GB,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-15-pro-256gb-used-for-sale-colombo-1820
Brand New,Apple,iPhone 17 Pro Max,,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-17-pro-max-brand-new-for-sale-kandy-36
Used,Apple,iPhone 15 Plus,128GB,iOS,,,Dual,,5G,,https://ikman.lk/en/ad/apple-iphone-15-plus-128gb-used-for-sale-kurunegala-7
Used,Apple,iPhone 15 Pro Max,256GB,iOS,,256 GB,,,5G,,https://ikman.lk/en/ad/apple-iphone-15-pro-max-256gb-used-for-sale-colombo-5849
Used,Apple,iPhone 15,128GB,iOS,,128 GB,,,,,https://ikman.lk/en/ad/apple-iphone-15-128gb-used-for-sale-colombo-3526
Used,Apple,iPhone 15 Pro,256GB,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-15-pro-256gb-used-for-sale-colombo-1820
Used,Apple,iPhone 14 Pro Max,256GB,iOS,,256 GB,,,,,https://ikman.lk/en/ad/apple-iphone-14-pro-max-256gb-used-for-sale-colombo-5064
Used,Apple,iPhone 14 Pro,256GB,iOS,,256 GB,,,,,https://ikman.lk/en/ad/apple-iphone-14-pro-256gb-used-for-sale-colombo-3250
Used,Apple,iPhone 12 Pro Max,128GB,iOS,,128 GB,,,,,https://ikman.lk/en/ad/apple-iphone-12-pro-max-128gb-used-for-sale-colombo-3537
Used,Apple,iPhone 13 Pro Max,512GB,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-13-pro-max-512gb-used-for-sale-colombo-459
Used,Apple,iPhone 12 Pro,256GB,iOS,,256 GB,,,5G,,https://ikman.lk/en/ad/apple-iphone-12-pro-256gb-used-for-sale-colombo-10473
Used,Apple,iPhone 13 Pro,512GB,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-13-pro-512gb-used-for-sale-colombo-395
Used,Apple,iPhone 13,128GB,iOS,,128 GB,,,,,https://ikman.lk/en/ad/apple-iphone-13-128gb-used-for-sale-colombo-11554
Used,Apple,iPhone 11,128GB,iOS,,128 GB,,,5G,,https://ikman.lk/en/ad/apple-iphone-11-128gb-used-for-sale-colombo-19066
Used,Apple,iPhone 11 Pro Max,Apple,iOS,4 GB,256 GB,Triple,Above 6 inches,4G,Single SIM,https://ikman.lk/en/ad/apple-iphone-11-pro-max-11pro-used-for-sale-batticaloa
Used,Apple,iPhone 13 Pro,Apple,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-13-pro-ja-used-for-sale-trincomalee
Used,Apple,iPhone 14 Pro Max,256GB,iOS,,256 GB,,Above 6 inches,,,https://ikman.lk/en/ad/apple-iphone-14-pro-max-256gb-used-for-sale-colombo-5049
Used,Apple,iPhone 12 Pro Max,256GB,iOS,,256 GB,,,,,https://ikman.lk/en/ad/apple-iphone-12-pro-max-256gb-used-for-sale-colombo-7839
Used,Apple,iPhone 13 Pro,128GB,iOS,,128 GB,,,,,https://ikman.lk/en/ad/apple-iphone-13-pro-128gb-used-for-sale-colombo-3299
Used,Apple,iPhone 14 Pro,128GB,iOS,,128 GB,,,,,https://ikman.lk/en/ad/apple-iphone-14-pro-128gb-used-for-sale-colombo-2802
Used,Apple,iPhone 13,128GB,iOS,,128 GB,,,,,https://ikman.lk/en/ad/apple-iphone-13-128gb-used-for-sale-colombo-11498
Used,Apple,iPhone 12 Pro,256GB,iOS,,256 GB,,,,,https://ikman.lk/en/ad/apple-iphone-12-pro-256gb-used-for-sale-colombo-10421
Used,Apple,iPhone 12,128GB,iOS,,128 GB,,,,,https://ikman.lk/en/ad/apple-iphone-12-128gb-used-for-sale-colombo-9701
Used,Apple,iPhone 16 Pro Max,256GB,iOS,,256 GB,,,,,https://ikman.lk/en/ad/apple-iphone-16-pro-max-256gb-used-for-sale-colombo-2386
Used,Apple,iPhone 11,128GB,iOS,,128 GB,,,,,https://ikman.lk/en/ad/apple-iphone-11-128gb-used-for-sale-colombo-19023
Used,Apple,iPhone 14,IPhone 14 128GB,iOS,6 GB,128 GB,Dual,Above 6 inches,5G,Single SIM,https://ikman.lk/en/ad/apple-iphone-14-128-za-used-for-sale-colombo
Used,Apple,iPhone 13,128GB,iOS,,128 GB,Dual,,,,https://ikman.lk/en/ad/apple-iphone-13-128gb-used-for-sale-colombo-11553
Used,Samsung,Galaxy A24,Samsung,iOS,4 GB,128 GB,Triple,,VoLTE,,https://ikman.lk/en/ad/samsung-galaxy-a24-used-for-sale-gampaha-57
Brand New,Apple,iPhone 16 Pro Max,512GB AAA REPLICA.,iOS,8 GB,256 GB,Triple,Above 6 inches,5G,Single SIM,https://ikman.lk/en/ad/apple-iphone-16-pro-max-512gb-aaa-replica-brand-new-for-sale-colombo-2
Used,Apple,iPhone 15 Pro,128GB,iOS,,128 GB,,,,,https://ikman.lk/en/ad/apple-iphone-15-pro-128gb-used-for-sale-colombo-1500
Used,Samsung,Galaxy A24,Samsung,iOS,4 GB,128 GB,Triple,,VoLTE,,https://ikman.lk/en/ad/samsung-galaxy-a24-used-for-sale-gampaha-57
Used,Apple,iPhone 11,128GB,iOS,,128 GB,Dual,,,,https://ikman.lk/en/ad/apple-iphone-11-128gb-used-for-sale-colombo-19065
Used,Apple,iPhone 11 Pro,256GB,iOS,,256 GB,Triple,,,,https://ikman.lk/en/ad/apple-iphone-11-pro-256gb-used-for-sale-colombo-11495
Used,Apple,iPhone 12,128GB,iOS,,128 GB,Dual,,,,https://ikman.lk/en/ad/apple-iphone-12-128gb-used-for-sale-colombo-9729
Used,Apple,iPhone 15 Pro Max,256GB,iOS,,256 GB,Triple,,,,https://ikman.lk/en/ad/apple-iphone-15-pro-max-256gb-used-for-sale-colombo-5848
Used,Apple,iPhone 12 Pro Max,256GB,iOS,,256 GB,Triple,,,,https://ikman.lk/en/ad/apple-iphone-12-pro-max-256gb-used-for-sale-colombo-7856
Used,Apple,iPhone 12 mini,Apple,iOS,,128 GB,Dual,,VoLTE,Single SIM,https://ikman.lk/en/ad/apple-iphone-12-mini-used-for-sale-gampaha-421
Used,Apple,iPhone 14 Plus,14 PLUS 128GB,iOS,,128 GB,Dual,,VoLTE,,https://ikman.lk/en/ad/apple-iphone-14-plus-128gb-used-for-sale-gampaha-743
Used,Apple,iPhone 14,128GB,iOS,,128 GB,Dual,,,,https://ikman.lk/en/ad/apple-iphone-14-128gb-used-for-sale-colombo-5938
Used,Apple,iPhone 12,128GB,iOS,,128 GB,Dual,,,,https://ikman.lk/en/ad/apple-iphone-12-128gb-used-for-sale-colombo-9715
Used,Apple,iPhone 15 Pro Max,256GB,iOS,,256 GB,Triple,,,,https://ikman.lk/en/ad/apple-iphone-15-pro-max-256gb-used-for-sale-colombo-5839
Used,Apple,iPhone 13,128GB,iOS,,128 GB,Dual,,,,https://ikman.lk/en/ad/apple-iphone-13-128gb-used-for-sale-colombo-11534
Used,Apple,iPhone 14,128GB,iOS,,128 GB,Dual,,,,https://ikman.lk/en/ad/apple-iphone-14-128gb-used-for-sale-colombo-5956
Used,Apple,iPhone 14 Pro,256GB,iOS,,256 GB,Triple,,,,https://ikman.lk/en/ad/apple-iphone-14-pro-256gb-used-for-sale-colombo-3249
Used,Apple,iPhone 12 Pro,256GB,iOS,16 GB,256 GB,Triple,,,,https://ikman.lk/en/ad/apple-iphone-12-pro-256gb-used-for-sale-colombo-10472
Used,Apple,iPhone 13,128GB,iOS,,128 GB,Dual,,,,https://ikman.lk/en/ad/apple-iphone-13-128gb-used-for-sale-colombo-11552
Used,Apple,iPhone 14 Pro Max,256GB,iOS,,256 GB,Triple,,,,https://ikman.lk/en/ad/apple-iphone-14-pro-max-256gb-used-for-sale-colombo-5063
Used,Apple,iPhone 15 Pro Max,256GB,iOS,,256 GB,Triple,,,,https://ikman.lk/en/ad/apple-iphone-15-pro-max-256gb-used-for-sale-colombo-5846
Used,Apple,iPhone 13 Pro,256GB,iOS,,256 GB,Triple,,,,https://ikman.lk/en/ad/apple-iphone-13-pro-256gb-used-for-sale-colombo-4839
Used,Apple,iPhone 12 Pro,12 Pro 256GB,iOS,6 GB,256 GB,Triple,,,,https://ikman.lk/en/ad/apple-iphone-12-pro-256gb-used-for-sale-colombo-10470
Used,Apple,iPhone XS,Apple,iOS,,256 GB,,,VoLTE,,https://ikman.lk/en/ad/apple-iphone-xs-i-phone-used-for-sale-ampara-54
Used,Apple,iPhone 15 Pro,128GB,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-15-pro-128gb-used-for-sale-colombo-1515
Used,Apple,iPhone SE 3,128GB 5G,iOS,4 GB,128 GB,Dual,Below 4 inches,5G,Dual VoLTE,https://ikman.lk/en/ad/apple-iphone-se-3-128gb-5g-used-for-sale-kalutara
Used,Apple,iPhone 12 Pro,Apple,iOS,4 GB,,Triple,,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-12-pro-used-for-sale-kurunegala-1268
Used,Apple,iPhone 16 Pro Max,256GB,iOS,8 GB,256 GB,Triple,,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-16-pro-max-256gb-used-for-sale-kurunegala-80
Used,Apple,iPhone 16 Pro,128GB,iOS,,128 GB,,,,,https://ikman.lk/en/ad/apple-iphone-16-pro-128gb-used-for-sale-colombo-671
Used,Apple,iPhone 12 Pro,256GB,iOS,6 GB,256 GB,Triple,,,Dual SIM,https://ikman.lk/en/ad/apple-iphone-12-pro-256gb-used-for-sale-puttalam-257
Used,Apple,iPhone 16 Pro Max,256GB,iOS,8 GB,256 GB,Triple,,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-16-pro-max-256gb-used-for-sale-kurunegala-80
Used,Apple,iPhone 15 Pro Max,256GB,iOS,8 GB,256 GB,Triple,,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-15-pro-max-256gb-used-for-sale-kurunegala-223
Used,Apple,iPhone 12,128GB,iOS,4 GB,128 GB,Dual,,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-12-128gb-used-for-sale-kurunegala-688
Used,Apple,iPhone XR,Red,iOS,,64 GB,Dual,,,,https://ikman.lk/en/ad/apple-iphone-xr-product-red-used-for-sale-kandy
Used,Apple,iPhone 15 Pro,256GB,iOS,6 GB,256 GB,Triple,,5G,,https://ikman.lk/en/ad/apple-iphone-15-pro-256gb-used-for-sale-kurunegala-120
Used,Apple,iPhone 12 Pro Max,Apple,iOS,6 GB,256 GB,Triple,,,,https://ikman.lk/en/ad/apple-iphone-12-pro-max-used-for-sale-gampaha-1937
Used,Apple,iPhone 12 Pro Max,Apple,iOS,6 GB,256 GB,Triple,,,,https://ikman.lk/en/ad/apple-iphone-12-pro-max-used-for-sale-puttalam-434
Used,Apple,iPhone 12 Pro Max,256GB,iOS,6 GB,256 GB,Triple,,,,https://ikman.lk/en/ad/apple-iphone-12-pro-max-256gb-used-for-sale-kurunegala-641
Used,Apple,iPhone 12 Pro,12 Pro 256GB,iOS,6 GB,256 GB,Triple,,,,https://ikman.lk/en/ad/apple-iphone-12-pro-256gb-used-for-sale-kurunegala-854
Used,Apple,iPhone 12,12 128GB,iOS,6 GB,128 GB,Dual,,,,https://ikman.lk/en/ad/apple-iphone-12-128gb-used-for-sale-puttalam-188
Used,Apple,iPhone 14,128GB,iOS,6 GB,128 GB,Triple,,,,https://ikman.lk/en/ad/apple-iphone-14-128gb-used-for-sale-puttalam-46
Used,Apple,iPhone 12 Pro Max,256GB,iOS,6 GB,256 GB,Triple,,,,https://ikman.lk/en/ad/apple-iphone-12-pro-max-256gb-used-for-sale-puttalam-320
Used,Apple,iPhone 12 Pro Max,256GB,iOS,6 GB,256 GB,Triple,,,,https://ikman.lk/en/ad/apple-iphone-12-pro-max-256gb-used-for-sale-puttalam-319
Used,Apple,iPhone 14 Pro Max,512GB 5G,iOS,6 GB,,Triple,,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-14-pro-max-512gb-5g-used-for-sale-colombo-2
Used,Apple,iPhone 13,128GB,iOS,4 GB,128 GB,,,VoLTE,Dual VoLTE,https://ikman.lk/en/ad/apple-iphone-13-128gb-used-for-sale-galle-385
Used,Apple,iPhone 12 Pro Max,,iOS,,256 GB,Dual,,VoLTE,Dual VoLTE,https://ikman.lk/en/ad/apple-iphone-12-pro-max-used-for-sale-gampaha-1936
Used,Apple,iPhone 15 Pro Max,,iOS,,256 GB,Triple,,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-15-pro-max-used-for-sale-ampara-279
Used,Apple,iPhone 13 Pro Max,,iOS,,256 GB,Triple,,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-13-pro-max-used-for-sale-ampara-448
Used,Apple,iPhone 15 Pro,256GB,iOS,8 GB,256 GB,Triple,5.1 to 6 inches,,,https://ikman.lk/en/ad/apple-iphone-15-pro-256gb-used-for-sale-matale-4
Used,Apple,iPhone 16 Pro Max,256GB,iOS,16 GB,256 GB,,Above 6 inches,5G,Single SIM,https://ikman.lk/en/ad/apple-iphone-16-pro-max-256gb-used-for-sale-gampaha-326
Used,Apple,iPhone 13 Pro,,iOS,,128 GB,Triple,Above 6 inches,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-13-pro-used-for-sale-matara-150
Used,Apple,iPhone 8,Apple,iOS,,64 GB,,,4G,Single SIM,https://ikman.lk/en/ad/apple-iphone-8-64gb-used-for-sale-gampaha-7481
Used,Apple,iPhone 16 Pro,256GB,iOS,8 GB,256 GB,Triple,Above 6 inches,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-16-pro-256gb-used-for-sale-kandy-54
Used,Apple,iPhone 14 Pro Max,,iOS,,256 GB,Triple,,,,https://ikman.lk/en/ad/apple-iphone-14-pro-max-used-for-sale-colombo-2373
Used,Apple,iPhone 15 Pro Max,256GB ESIM,iOS,,256 GB,Triple,Above 6 inches,,,https://ikman.lk/en/ad/apple-iphone-15-pro-max-256gb-esim-used-for-sale-colombo
Used,Apple,iPhone 15,128GB/256GB,iOS,6 GB,,Dual,Above 6 inches,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-15-128gb-256gb-used-for-sale-colombo-13
Used,Apple,iPhone 13 Pro Max,512GB,iOS,,,Triple,,,,https://ikman.lk/en/ad/apple-iphone-13-pro-max-512gb-used-for-sale-colombo-455
Used,Apple,iPhone 14 Pro Max,,iOS,,256 GB,Triple,,,,https://ikman.lk/en/ad/apple-iphone-14-pro-max-used-for-sale-colombo-2373
Used,Apple,iPhone 15 Pro Max,256GB ESIM,iOS,,256 GB,Triple,Above 6 inches,,,https://ikman.lk/en/ad/apple-iphone-15-pro-max-256gb-esim-used-for-sale-colombo
Used,Apple,iPhone 16 Plus,128GB,iOS,8 GB,128 GB,Dual,Above 6 inches,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-16-plus-128-used-for-sale-colombo-3
Used,Apple,iPhone XS,Apple,iOS,4 GB,64 GB,Dual,5.1 to 6 inches,4G,Single SIM,https://ikman.lk/en/ad/apple-iphone-xs-64gb-used-for-sale-galle-400
Used,Apple,iPhone 13 Pro Max,,iOS,12 GB,256 GB,Triple,5.1 to 6 inches,5G,Single SIM,https://ikman.lk/en/ad/apple-iphone-13-pro-max-used-for-sale-galle-288
Used,Apple,iPhone 6S,Apple,iOS,,64 GB,,4 to 5 inches,VoLTE,Single SIM,https://ikman.lk/en/ad/apple-iphone-6s-ios-1586-used-for-sale-gampaha
Used,Apple,iPhone 14,iPhone 14,iOS,,128 GB,Dual,,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-14-used-for-sale-colombo-1679
Used,Apple,iPhone 14,iPhone 14,iOS,,128 GB,Dual,,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-14-used-for-sale-colombo-1665
Used,Apple,iPhone 14,iPhone 14,iOS,,128 GB,Dual,,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-14-used-for-sale-colombo-1678
Used,Apple,iPhone 14,Apple,iOS,,128 GB,Dual,,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-14-used-for-sale-colombo-1677
Used,Apple,iPhone 14,128GB,iOS,,128 GB,Dual,,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-14-128gb-used-for-sale-colombo-5954
Used,Apple,iPhone 14,128GB,iOS,,128 GB,Dual,,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-14-128gb-used-for-sale-colombo-5955
Used,Apple,iPhone 12 Pro,Apple,iOS,,256 GB,Triple,,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-12-pro-used-for-sale-colombo-3985
Used,Apple,iPhone 12 Pro,Apple,iOS,,256 GB,Triple,,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-12-pro-used-for-sale-colombo-3988
Used,Apple,iPhone 12 Pro,Apple,iOS,,256 GB,Triple,,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-12-pro-used-for-sale-colombo-3987
Used,Apple,iPhone 12 Pro,256GB,iOS,,256 GB,Triple,,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-12-pro-256gb-used-for-sale-colombo-10466
Used,Apple,iPhone 15 Pro Max,256GB,iOS,,256 GB,,,,,https://ikman.lk/en/ad/apple-iphone-15-pro-max-256gb-used-for-sale-colombo-5784
Used,Apple,iPhone 12,128GB,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-12-128gb-used-for-sale-colombo-9638
Used,Apple,iPhone 13,128GB,iOS,,128 GB,,,,,https://ikman.lk/en/ad/apple-iphone-13-128gb-used-for-sale-colombo-11420
Used,Apple,iPhone X,iPhone X,iOS,4 GB,64 GB,Dual,5.1 to 6 inches,VoLTE,Single SIM,https://ikman.lk/en/ad/apple-iphone-x-used-for-sale-colombo-9410
Used,Apple,iPhone 12 Pro,256GB,iOS,,256 GB,,,,,https://ikman.lk/en/ad/apple-iphone-12-pro-256gb-used-for-sale-colombo-10346
Used,Apple,iPhone 14 Pro,256GB,iOS,,256 GB,,,,,https://ikman.lk/en/ad/apple-iphone-14-pro-256gb-used-for-sale-colombo-3204
Used,Apple,iPhone 14 Pro Max,256GB,iOS,,256 GB,,,,,https://ikman.lk/en/ad/apple-iphone-14-pro-max-256gb-used-for-sale-colombo-5029
Used,Apple,iPhone 16 Pro Max,256GB,iOS,,256 GB,,,,,https://ikman.lk/en/ad/apple-iphone-16-pro-max-256gb-used-for-sale-colombo-2351
Used,Apple,iPhone 15,iPhone 15,iOS,,128 GB,,,,Single SIM,https://ikman.lk/en/ad/apple-iphone-15-used-for-sale-galle-97
Brand New,Apple,iPhone 17,,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-17-brand-new-for-sale-kandy-1
Used,Apple,iPhone 15,128GB/256GB,iOS,6 GB,,Dual,Above 6 inches,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-15-128gb-256gb-used-for-sale-colombo-13
Used,Apple,iPhone XS,Apple,iOS,,64 GB,,,,Single SIM,https://ikman.lk/en/ad/apple-iphone-xs-used-for-sale-puttalam-612
Used,Apple,iPhone 11,iPhone 11,iOS,4 GB,128 GB,Dual,4 to 5 inches,4G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-11-used-for-sale-kalutara-1419
Used,Apple,iPhone 13,iPhone 13,iOS,16 GB,128 GB,Dual,Above 6 inches,,,https://ikman.lk/en/ad/apple-iphone-13-i-phone-used-for-sale-colombo-182
Used,Apple,iPhone 12 Pro,Apple,iOS,,128 GB,,,5G,,https://ikman.lk/en/ad/apple-iphone-12-pro-12pro25-used-for-sale-anuradhapura
Used,Apple,iPhone 11 Pro,Apple iphone 11 Pro,iOS,4 GB,256 GB,Triple,5.1 to 6 inches,4G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-11-pro-11pro-used-for-sale-kalutara-16
Used,Apple,iPhone 7,,iOS,2 GB,128 GB,,,4G,Single SIM,https://ikman.lk/en/ad/apple-iphone-7-used-for-sale-puttalam-2348
Used,Apple,iPhone 16 Pro Max,Apple,iOS,8 GB,256 GB,,,4G,,https://ikman.lk/en/ad/apple-iphone-16-pro-max-no-error-used-for-sale-vavuniya
Used,Apple,iPhone 14 Pro Max,,iOS,6 GB,128 GB,,5.1 to 6 inches,5G,Single SIM,https://ikman.lk/en/ad/apple-iphone-14-pro-max-used-for-sale-ampara-363
Used,Apple,iPhone 15 Pro,Apple,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-15-pro-used-for-sale-gampaha-357
Used,Apple,iPhone 15 Plus,128GB,iOS,6 GB,128 GB,Dual,,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-15-plus-128gb-used-for-sale-kandy-67
Used,Apple,iPhone 7 Plus,,iOS,8 GB,128 GB,Dual,5.1 to 6 inches,4G,Single SIM,https://ikman.lk/en/ad/apple-iphone-7-plus-used-for-sale-gampaha-8966
Used,Apple,iPhone 11 Pro,Apple,iOS,4 GB,256 GB,Triple,4 to 5 inches,5G,Single SIM,https://ikman.lk/en/ad/apple-iphone-11-pro-0754929984-used-for-sale-batticaloa-1
Used,Apple,iPhone 14 Pro,iPhone 14 Pro 256GB,iOS,,256 GB,,,5G,,https://ikman.lk/en/ad/apple-iphone-14-pro-256gb-used-for-sale-anuradhapura-107
Used,Apple,iPhone 11,,iOS,,256 GB,,,,,https://ikman.lk/en/ad/apple-iphone-11-used-for-sale-gampaha-4084
Used,Apple,iPhone 13 Pro,512GB,iOS,4 GB,,Triple,,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-13-pro-512gb-used-for-sale-kandy-30
Used,Apple,iPhone 12 Pro Max,Apple,iOS,6 GB,256 GB,Triple,5.1 to 6 inches,5G,Single SIM,https://ikman.lk/en/ad/apple-iphone-12-pro-max-used-for-sale-batticaloa-613
Used,Apple,iPhone 13 mini,128GB,iOS,4 GB,128 GB,Dual,,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-13-mini-mini-128gb-used-for-sale-badulla
Used,Apple,iPhone 11,Apple,iOS,,128 GB,,4 to 5 inches,,Dual SIM,https://ikman.lk/en/ad/apple-iphone-11-used-for-sale-colombo-8201
Used,Apple,iPhone 13 Pro Max,512GB,iOS,,128 GB,Triple,,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-13-pro-max-512gb-used-for-sale-gampaha-479
Used,Apple,iPhone 12,128GB,iOS,,128 GB,Dual,,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-12-used-for-sale-kegalle-238
Used,Apple,iPhone 11,Apple,iOS,,128 GB,,,,,https://ikman.lk/en/ad/apple-iphone-11-i-phone-used-for-sale-polonnaruwa-29
Used,Apple,iPhone 7,,iOS,3 GB,128 GB,,,4G,Single SIM,https://ikman.lk/en/ad/apple-iphone-7-used-for-sale-gampaha-10987
Used,Apple,iPhone 7 Plus,Apple,iOS,3 GB,128 GB,,,,,https://ikman.lk/en/ad/apple-iphone-7-plus-used-for-sale-colombo-11968
Used,Apple,iPhone 13 Pro Max,256GB,iOS,,256 GB,Triple,Above 6 inches,5G,,https://ikman.lk/en/ad/apple-iphone-13-pro-max-256gb-used-for-sale-ratnapura-194
Used,Apple,iPhone 11 Pro,,iOS,,256 GB,Triple,,,Single SIM,https://ikman.lk/en/ad/apple-iphone-11-pro-used-for-sale-gampaha-2125
Used,Apple,iPhone 12,128GB,iOS,4 GB,128 GB,Dual,,VoLTE,Dual SIM,https://ikman.lk/en/ad/apple-iphone-12-128gb-used-for-sale-galle-406
Used,Apple,iPhone 12 Pro,128GB,iOS,6 GB,128 GB,Triple,Above 6 inches,5G,Single SIM,https://ikman.lk/en/ad/apple-iphone-12-pro-128gb-used-for-sale-polonnaruwa-63
Used,Apple,iPhone 16e,,iOS,8 GB,128 GB,,Above 6 inches,5G,Single SIM,https://ikman.lk/en/ad/apple-iphone-16e-brand-new-for-sale-puttalam-1
Used,Apple,iPhone 13 Pro,Apple,iOS,,128 GB,Triple,Above 6 inches,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-13-pro-used-for-sale-colombo-1997
Used,Apple,iPhone 12,,iOS,4 GB,128 GB,Dual,4 to 5 inches,5G,Single SIM,https://ikman.lk/en/ad/apple-iphone-12-used-for-sale-jaffna-366
Used,Apple,iPhone SE 2,,iOS,3 GB,64 GB,,4 to 5 inches,4G,Single SIM,https://ikman.lk/en/ad/apple-iphone-se-2-used-for-sale-galle-533
Used,Apple,iPhone 15,,iOS,6 GB,128 GB,,Above 6 inches,,,https://ikman.lk/en/ad/apple-iphone-15-used-for-sale-colombo-1208
Used,Apple,iPhone SE 2,,iOS,,64 GB,,,4G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-se-2-used-for-sale-kalutara-638
Used,Apple,iPhone 6S,iPhone 6s,iOS,2 GB,64 GB,Quad,4 to 5 inches,4G,Single SIM,https://ikman.lk/en/ad/apple-iphone-6s-used-for-sale-kandy-6536
Used,Apple,iPhone 12 Pro Max,Apple,iOS,,256 GB,Triple,Above 6 inches,5G,,https://ikman.lk/en/ad/apple-iphone-12-pro-max-used-for-sale-colombo-3874
Used,Apple,iPhone 12 Pro Max,5G 256GB,iOS,8 GB,256 GB,Triple,Above 6 inches,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-12-pro-max-5g-256gb-used-for-sale-matara
Used,Apple,iPhone XS Max,256GB,iOS,4 GB,256 GB,Dual,Above 6 inches,4G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-xs-max-i-phone-256-used-for-sale-kurunegala-1
Used,Apple,iPhone 11,128GB,iOS,4 GB,128 GB,,,4G,Single SIM,https://ikman.lk/en/ad/apple-iphone-11-11-128-used-for-sale-ratnapura
Used,Apple,iPhone 13 Pro Max,,iOS,,,Triple,,,,https://ikman.lk/en/ad/apple-iphone-13-pro-max-used-for-sale-gampaha-1780
Used,Apple,iPhone 14,,iOS,6 GB,256 GB,Dual,5.1 to 6 inches,5G,Dual VoLTE,https://ikman.lk/en/ad/apple-iphone-14-used-for-sale-gampaha-540
Used,Apple,iPhone 15 Pro Max,,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-15-pro-max-used-for-sale-jaffna-187
Used,Apple,iPhone 11 Pro Max,Apple,iOS,8 GB,256 GB,Triple,Above 6 inches,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-11-pro-max-uae-used-for-sale-kurunegala
Used,Apple,iPhone X,,iOS,3 GB,64 GB,,4 to 5 inches,4G,,https://ikman.lk/en/ad/apple-iphone-x-used-for-sale-jaffna-823
Used,Apple,iPhone 14,128,iOS,6 GB,128 GB,Quad,,,Single SIM,https://ikman.lk/en/ad/apple-iphone-14-128-used-for-sale-colombo-158
Used,Apple,iPhone XS,Iphone xs,iOS,,256 GB,Dual,5.1 to 6 inches,4G,,https://ikman.lk/en/ad/apple-iphone-xs-used-for-sale-kegalle-548
Used,Apple,iPhone 11 Pro,,iOS,,,Triple,5.1 to 6 inches,,Dual SIM,https://ikman.lk/en/ad/apple-iphone-11-pro-used-for-sale-gampaha-2124
Used,Apple,iPhone 11 Pro Max,,iOS,,256 GB,Triple,,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-11-pro-max-used-for-sale-kandy-1143
Used,Apple,iPhone 8 Plus,Apple,iOS,,64 GB,,,,Single SIM,https://ikman.lk/en/ad/apple-iphone-8-plus-used-for-sale-puttalam-659
Used,Apple,iPhone 11,64GB,iOS,,64 GB,Dual,5.1 to 6 inches,4G,Single SIM,https://ikman.lk/en/ad/apple-iphone-11-64gb-used-for-sale-colombo-5866
Used,Apple,iPhone XS,,iOS,,256 GB,,,,,https://ikman.lk/en/ad/apple-iphone-xs-used-for-sale-kurunegala-1590
