Condition,Brand,Model,Edition,Operating System,RAM,Memory,No. of Camera,Screen Size,Network,SIM Support,URL
Used,Apple,iPhone 14 Pro,,iOS,,256 GB,,,5G,Single SIM,https://ikman.lk/en/ad/apple-iphone-14-pro-used-for-sale-kalutara-281
Used,Apple,iPhone SE 2,,iOS,,64 GB,,,5G,,https://ikman.lk/en/ad/apple-iphone-se-2-used-for-sale-matara-421
Used,Apple,iPhone 14 Pro,256GB/128GB FULLSET,iOS,6 GB,256 GB,Triple,Above 6 inches,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-14-pro-256gb-128gb-fullset-used-for-sale-colombo-225
Used,Apple,iPhone 12,128GB,iOS,,128 GB,Dual,,4G,,https://ikman.lk/en/ad/apple-iphone-12-128gb-used-for-sale-colombo-9733
Used,Apple,iPhone 13 Pro,128GB SAMEIMEI BOXâ,iOS,6 GB,128 GB,Triple,Above 6 inches,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-13-pro-128gb-sameimei-box-used-for-sale-colombo-95
Used,Apple,iPhone 12 Pro,128GB,iOS,6 GB,128 GB,Triple,Above 6 inches,5G,Single SIM,https://ikman.lk/en/ad/apple-iphone-12-pro-128gb-used-for-sale-polonnaruwa-63
Brand New,Apple,iPhone 17 Pro Max,,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-17-pro-max-brand-new-for-sale-kandy-42
Used,Apple,iPhone 11 Pro,256GB,iOS,,256 GB,Triple,,4G,,https://ikman.lk/en/ad/apple-iphone-11-pro-256gb-used-for-sale-colombo-11498
Used,Apple,iPhone 11,128GB,iOS,,128 GB,Dual,,4G,,https://ikman.lk/en/ad/apple-iphone-11-128gb-used-for-sale-colombo-19071
Brand New,Apple,iPhone 17 Pro Max,,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-17-pro-max-brand-new-for-sale-kandy-41
Used,Apple,iPhone 11,11,iOS,,128 GB,,,5G,,https://ikman.lk/en/ad/apple-iphone-11-used-for-sale-colombo-8190
Used,Apple,iPhone 13,iPhone 13,iOS,4 GB,128 GB,Dual,Above 6 inches,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-13-used-for-sale-kandy-888
Used,Apple,iPhone 11,11,iOS,,128 GB,,,5G,,https://ikman.lk/en/ad/apple-iphone-11-used-for-sale-colombo-8192
